time,timestamp,recordtime,lat,long,alt,speed,course
0,0,0,37.44663,-122.1716,0,0.25,132.833
0,0,0,37.44662,-122.1716,0,0.31,132.833
0,0,0,37.44661,-122.1716,0,1.07,132.833
0,0,0,37.44659,-122.1716,0,2.23,132.833
0,0,0,37.44658,-122.1716,0,4.59,132.833
0,0,0,37.44653,-122.1715,0,5.57,134.1118
0,0,0,37.44648,-122.1714,0,7.1,134.1118
0,0,0,37.44642,-122.1714,0,8.99,134.0847
0,0,0,37.44636,-122.1713,0,9.53,134.0847
0,0,0,37.4463,-122.1712,0,10.25,134.0847
0,0,0,37.44624,-122.1711,0,12.16,135.0003
0,0,0,37.44614,-122.171,0,13.05,133.3982
0,0,0,37.44606,-122.1709,0,13.75,133.3982
0,0,0,37.44597,-122.1708,0,14.11,133.3982
0,0,0,37.44588,-122.1706,0,14.58,133.3982
0,0,0,37.44579,-122.1705,0,15.23,133.4743
0,0,0,37.44569,-122.1704,0,15.61,133.4743
0,0,0,37.44559,-122.1703,0,16.11,134.0337
0,0,0,37.44549,-122.1701,0,16.21,134.0337
0,0,0,37.44539,-122.17,0,16.52,134.0337
0,0,0,37.44528,-122.1699,0,16.68,134.0337
0,0,0,37.44518,-122.1697,0,16.72,134.1616
0,0,0,37.44508,-122.1696,0,16.46,134.1616
0,0,0,37.44498,-122.1695,0,16.12,134.1616
0,0,0,37.44488,-122.1693,0,15.84,133.6196
0,0,0,37.44478,-122.1692,0,15.34,133.6196
0,0,0,37.44469,-122.1691,0,13.96,133.6196
0,0,0,37.44461,-122.169,0,12.44,133.6196
0,0,0,37.44453,-122.1689,0,10.91,133.6196
0,0,0,37.44448,-122.1688,0,10.26,133.6196
0,0,0,37.44441,-122.1687,0,9.52,133.7724
0,0,0,37.44436,-122.1686,0,9.01,133.7724
0,0,0,37.44429,-122.1685,0,8.96,133.7724
0,0,0,37.44424,-122.1685,0,9.18,133.7724
0,0,0,37.44418,-122.1684,0,8.68,133.7724
0,0,0,37.44413,-122.1683,0,8.34,133.7724
0,0,0,37.44408,-122.1683,0,8.1,133.7724
0,0,0,37.44403,-122.1682,0,8.05,133.7724
0,0,0,37.44398,-122.1681,0,7.72,133.7724
0,0,0,37.44394,-122.1681,0,7.29,133.7724
0,0,0,37.4439,-122.168,0,6.01,133.7724
0,0,0,37.44386,-122.168,0,5.0,134.3096
0,0,0,37.44384,-122.1679,0,3.88,134.3096
0,0,0,37.44382,-122.1679,0,2.31,133.7681
0,0,0,37.44381,-122.1679,0,0.74,133.7681
0,0,0,37.44379,-122.1679,0,0.31,133.7681
0,0,0,37.44378,-122.1679,0,2.18,133.7681
0,0,0,37.44376,-122.1678,0,2.93,133.7681
0,0,0,37.44374,-122.1678,0,4.23,133.727
0,0,0,37.4437,-122.1678,0,5.58,133.727
0,0,0,37.44366,-122.1677,0,6.94,133.727
0,0,0,37.44362,-122.1677,0,7.94,133.727
0,0,0,37.4436,-122.1676,0,8.0,133.727
0,0,0,37.44353,-122.1675,0,8.96,134.9999
0,0,0,37.44345,-122.1674,0,9.87,134.3465
0,0,0,37.44339,-122.1674,0,10.72,134.3465
0,0,0,37.44332,-122.1673,0,11.84,134.3465
0,0,0,37.44325,-122.1672,0,13.16,134.3465
0,0,0,37.44313,-122.1671,0,14.39,143.8298
0,0,0,37.44302,-122.167,0,16.2,143.8298
0,0,0,37.44292,-122.1668,0,17.2,143.8298
0,0,0,37.4428,-122.1667,0,18.14,139.2188
0,0,0,37.44267,-122.1666,0,18.63,139.9219
0,0,0,37.44255,-122.1664,0,18.0,140.9766
0,0,0,37.44243,-122.1663,0,16.35,141.6797
0,0,0,37.44233,-122.1662,0,14.16,141.796
0,0,0,37.44223,-122.1661,0,12.32,141.796
0,0,0,37.44215,-122.166,0,10.36,141.6325
0,0,0,37.44209,-122.166,0,8.07,141.6325
0,0,0,37.44205,-122.1659,0,5.82,141.6325
0,0,0,37.44201,-122.1659,0,4.95,141.6325
0,0,0,37.44198,-122.1659,0,4.05,141.6325
0,0,0,37.44196,-122.1658,0,2.89,141.6325
0,0,0,37.44194,-122.1658,0,2.26,141.6325
0,0,0,37.44193,-122.1658,0,0.15,141.6325
0,0,0,37.44192,-122.1658,0,0.17,141.6325
0,0,0,37.44193,-122.1658,0,0.0,141.6325
0,0,0,37.44192,-122.1658,0,0.16,141.6325
0,0,0,37.44193,-122.1658,0,0.16,141.6325
0,0,0,37.44192,-122.1658,0,0.0,141.6325
0,0,0,37.44193,-122.1658,0,0.52,141.6325
0,0,0,37.44186,-122.1657,0,2.97,138.2155
0,0,0,37.44183,-122.1657,0,4.34,138.2155
0,0,0,37.44179,-122.1657,0,5.4,138.2155
0,0,0,37.44176,-122.1656,0,5.39,134.3772
0,0,0,37.44173,-122.1656,0,5.28,134.3772
0,0,0,37.44171,-122.1655,0,5.25,134.3772
0,0,0,37.44162,-122.1654,0,5.73,67.14844
0,0,0,37.44178,-122.1653,0,6.95,24.4251
0,0,0,37.44183,-122.1653,0,8.07,24.47909
0,0,0,37.44191,-122.1653,0,9.97,24.47909
0,0,0,37.442,-122.1652,0,11.89,24.25386
0,0,0,37.4421,-122.1651,0,12.09,23.72049
0,0,0,37.44218,-122.1651,0,12.27,22.98872
0,0,0,37.4423,-122.165,0,12.22,24.7751
0,0,0,37.4424,-122.165,0,12.27,30.31121
0,0,0,37.44249,-122.1649,0,10.93,30.31121
0,0,0,37.44256,-122.1648,0,9.12,33.78311
0,0,0,37.44262,-122.1648,0,7.86,33.78311
0,0,0,37.44268,-122.1647,0,6.55,33.78311
0,0,0,37.44271,-122.1647,0,5.26,34.67028
0,0,0,37.44275,-122.1647,0,4.42,34.67028
0,0,0,37.44278,-122.1646,0,3.89,34.67028
0,0,0,37.4428,-122.1646,0,2.82,34.67028
0,0,0,37.44281,-122.1646,0,1.02,34.67028
0,0,0,37.44282,-122.1646,0,0.23,34.67028
0,0,0,37.44281,-122.1646,0,0.26,34.67028
0,0,0,37.44282,-122.1646,0,0.19,34.67028
0,0,0,37.44281,-122.1646,0,0.21,34.67028
0,0,0,37.4428,-122.1646,0,0.27,34.67028
0,0,0,37.44281,-122.1646,0,0.28,34.67028
0,0,0,37.44282,-122.1646,0,0.8,35.06595
0,0,0,37.44283,-122.1646,0,0.63,35.06595
0,0,0,37.44282,-122.1646,0,0.0,35.06595
0,0,0,37.44283,-122.1646,0,0.2,35.06595
0,0,0,37.44284,-122.1646,0,0.32,35.06595
0,0,0,37.44285,-122.1646,0,1.38,35.06595
0,0,0,37.44286,-122.1646,0,1.81,35.06595
0,0,0,37.44287,-122.1646,0,1.91,35.06595
0,0,0,37.44289,-122.1646,0,1.95,35.06595
0,0,0,37.4429,-122.1645,0,1.99,35.06595
0,0,0,37.44292,-122.1645,0,2.05,35.06595
0,0,0,37.44294,-122.1645,0,1.67,36.86984
0,0,0,37.44296,-122.1645,0,1.75,36.86984
0,0,0,37.44297,-122.1645,0,1.64,36.86984
0,0,0,37.44298,-122.1645,0,1.52,36.86984
0,0,0,37.44299,-122.1645,0,1.27,36.86984
0,0,0,37.443,-122.1644,0,1.12,36.86984
0,0,0,37.44301,-122.1644,0,1.06,36.86984
0,0,0,37.44302,-122.1644,0,0.88,38.94571
0,0,0,37.44303,-122.1644,0,0.67,38.94571
0,0,0,37.44304,-122.1644,0,0.57,38.94571
0,0,0,37.44305,-122.1644,0,0.16,38.94571
0,0,0,37.44306,-122.1644,0,0.99,38.67188
0,0,0,37.44305,-122.1644,0,1.0,38.67188
0,0,0,37.44304,-122.1644,0,-1.0,-1.0
0,0,0,37.44305,-122.1644,0,-1.0,-1.0
0,0,0,37.44306,-122.1644,0,-1.0,-1.0
0,0,0,37.44307,-122.1644,0,2.549224e-10,-1.0
0,0,0,37.44308,-122.1644,0,4.229342e-05,-1.0
0,0,0,37.44309,-122.1644,0,2.486673e-08,-1.0
0,0,0,37.44311,-122.1643,0,6.310325e-08,-1.0
0,0,0,37.44312,-122.1643,0,2.386177e-08,-1.0
0,0,0,37.44316,-122.1643,0,6.777622e-08,37.49261
0,0,0,37.44319,-122.1643,0,0.0002052096,-1.0
0,0,0,37.44321,-122.1642,0,0.008865687,-1.0
0,0,0,37.44323,-122.1642,0,0.0302082,-1.0
0,0,0,37.44324,-122.1642,0,0.0005286513,-1.0
0,0,0,37.44325,-122.1642,0,2.587912e-08,-1.0
0,0,0,37.44328,-122.1642,0,2.382108,41.83474
0,0,0,37.4433,-122.1641,0,1.53054,42.18737
0,0,0,37.44331,-122.1641,0,9.431886e-05,-1.0
0,0,0,37.44332,-122.1641,0,1.911992,41.13281
0,0,0,37.44337,-122.1641,0,2.770415,40.81102
0,0,0,37.44346,-122.164,0,4.201444,40.12399
0,0,0,37.44349,-122.1639,0,6.09,38.09642
0,0,0,37.44347,-122.1639,0,5.49,38.09642
0,0,0,37.4435,-122.1639,0,5.04,38.09642
0,0,0,37.44353,-122.1639,0,4.5,38.21103
0,0,0,37.44349,-122.1639,0,3.63,38.09642
0,0,0,37.4436,-122.1639,0,3.21,38.21103
0,0,0,37.44361,-122.1638,0,2.6,38.21103
0,0,0,37.44362,-122.1638,0,1.77,38.21103
0,0,0,37.44363,-122.1638,0,1.85,38.21103
0,0,0,37.44364,-122.1638,0,2.27,38.21103
0,0,0,37.44367,-122.1638,0,3.73,38.21103
0,0,0,37.4437,-122.1637,0,3.76,38.21103
0,0,0,37.44372,-122.1637,0,3.49,36.74202
0,0,0,37.44374,-122.1637,0,3.09,36.74202
0,0,0,37.44376,-122.1637,0,2.84,36.74202
0,0,0,37.44378,-122.1636,0,2.98,36.74202
0,0,0,37.4438,-122.1636,0,3.07,36.74202
0,0,0,37.44383,-122.1636,0,4.23,36.74202
0,0,0,37.44386,-122.1636,0,4.17,36.74202
0,0,0,37.44387,-122.1635,0,2.8,36.74202
0,0,0,37.44388,-122.1635,0,1.89,36.74202
0,0,0,37.44389,-122.1635,0,1.09,36.74202
0,0,0,37.4439,-122.1636,0,0.0,36.74202
0,0,0,37.44388,-122.1635,0,0.15,36.74202
0,0,0,37.44389,-122.1636,0,0.0,36.74202
0,0,0,37.44389,-122.1635,0,0.39,36.74202
0,0,0,37.44388,-122.1635,0,0.0,36.74202
0,0,0,37.44389,-122.1635,0,0.0,36.74202
0,0,0,37.4439,-122.1635,0,0.19,36.74202
0,0,0,37.44391,-122.1635,0,0.0,36.74202
0,0,0,37.4439,-122.1635,0,0.99,36.74202
0,0,0,37.44391,-122.1635,0,1.25,36.74202
0,0,0,37.44392,-122.1635,0,1.45,36.74202
0,0,0,37.44393,-122.1635,0,1.21,36.74202
0,0,0,37.44394,-122.1635,0,0.48,36.74202
0,0,0,37.44395,-122.1635,0,1.92,36.74202
0,0,0,37.44397,-122.1634,0,2.26,36.74202
0,0,0,37.444,-122.1634,0,3.36,36.74202
0,0,0,37.44403,-122.1634,0,4.04,36.74202
0,0,0,37.44406,-122.1634,0,3.31,36.74202
0,0,0,37.44407,-122.1634,0,2.52,36.74202
0,0,0,37.44414,-122.1633,0,5.64,35.62791
0,0,0,37.44418,-122.1633,0,6.47,35.62791
0,0,0,37.44423,-122.1632,0,6.5,35.62791
0,0,0,37.44428,-122.1632,0,6.42,35.62791
0,0,0,37.44433,-122.1631,0,6.29,35.62791
0,0,0,37.44439,-122.1631,0,6.51,16.45987
0,0,0,37.44447,-122.163,0,6.03,39.52263
0,0,0,37.44451,-122.163,0,4.69,39.52263
0,0,0,37.44454,-122.1629,0,3.34,39.52263
0,0,0,37.44455,-122.1629,0,2.63,39.52263
0,0,0,37.44457,-122.1629,0,1.87,35.16647
0,0,0,37.44458,-122.1629,0,0.29,35.16647
0,0,0,37.44457,-122.1629,0,0.17,35.16647
0,0,0,37.44458,-122.1629,0,0.35,35.16647
0,0,0,37.44459,-122.1629,0,1.33,35.16647
0,0,0,37.4446,-122.1628,0,2.97,35.16647
0,0,0,37.44463,-122.1628,0,3.1,35.16647
0,0,0,37.44464,-122.1628,0,2.75,35.16647
0,0,0,37.44466,-122.1628,0,2.03,35.16647
0,0,0,37.44468,-122.1628,0,1.3,35.16647
0,0,0,37.44469,-122.1628,0,1.57,2.8125
0,0,0,37.4447,-122.1628,0,2.42,343.8281
0,0,0,37.44474,-122.1628,0,2.47,323.7891
0,0,0,37.44473,-122.1629,0,4.44,308.5271
0,0,0,37.44476,-122.1629,0,4.98,308.5271
0,0,0,37.4448,-122.163,0,6.32,308.5271
0,0,0,37.44484,-122.163,0,7.7,308.5271
0,0,0,37.44489,-122.1631,0,8.42,308.5271
0,0,0,37.44494,-122.1632,0,8.71,308.5271
0,0,0,37.44498,-122.1633,0,8.49,308.5271
0,0,0,37.44503,-122.1633,0,8.38,308.5271
0,0,0,37.44508,-122.1634,0,8.24,308.5271
0,0,0,37.44513,-122.1635,0,8.23,308.5271
0,0,0,37.44517,-122.1635,0,7.46,308.5271
0,0,0,37.44521,-122.1636,0,6.53,308.5271
0,0,0,37.44524,-122.1636,0,5.36,308.5271
0,0,0,37.44526,-122.1637,0,4.15,307.683
0,0,0,37.44527,-122.1637,0,1.59,307.683
0,0,0,37.44528,-122.1637,0,1.73,307.683
0,0,0,37.44529,-122.1637,0,1.8,307.683
0,0,0,37.4453,-122.1637,0,2.17,307.683
0,0,0,37.44532,-122.1638,0,3.62,307.683
0,0,0,37.44534,-122.1638,0,4.87,307.683
0,0,0,37.44537,-122.1639,0,5.34,307.683
0,0,0,37.4454,-122.1639,0,5.51,307.683
0,0,0,37.44543,-122.164,0,5.63,307.683
0,0,0,37.44546,-122.164,0,5.7,307.683
0,0,0,37.44548,-122.1641,0,5.79,307.683
0,0,0,37.44559,-122.1642,0,5.96,308.51
0,0,0,37.44562,-122.1643,0,5.84,308.51
0,0,0,37.44565,-122.1643,0,5.56,308.51
0,0,0,37.44568,-122.1644,0,5.45,308.51
0,0,0,37.44571,-122.1644,0,5.06,308.51
0,0,0,37.44574,-122.1645,0,5.09,308.51
0,0,0,37.44577,-122.1645,0,5.67,308.51
0,0,0,37.4458,-122.1646,0,5.86,308.51
0,0,0,37.44583,-122.1646,0,5.65,308.51
0,0,0,37.44587,-122.1646,0,5.85,308.51
0,0,0,37.4459,-122.1647,0,6.66,308.51
0,0,0,37.44595,-122.1648,0,7.68,308.51
0,0,0,37.446,-122.1649,0,8.23,308.51
0,0,0,37.44606,-122.165,0,8.65,308.51
0,0,0,37.4461,-122.165,0,8.11,308.51
0,0,0,37.44614,-122.1651,0,6.71,308.51
0,0,0,37.44617,-122.1651,0,5.51,308.51
0,0,0,37.44619,-122.1652,0,2.95,308.51
0,0,0,37.4462,-122.1652,0,1.12,308.51
0,0,0,37.44621,-122.1652,0,1.84,308.51
0,0,0,37.44622,-122.1652,0,2.91,308.51
0,0,0,37.44624,-122.1652,0,3.09,308.51
0,0,0,37.44625,-122.1653,0,3.73,308.51
0,0,0,37.44628,-122.1653,0,4.6,308.51
0,0,0,37.44636,-122.1654,0,7.62,308.0789
0,0,0,37.44641,-122.1655,0,9.41,308.0789
0,0,0,37.44646,-122.1656,0,9.6,309.6482
0,0,0,37.44652,-122.1657,0,9.57,309.6482
0,0,0,37.44657,-122.1658,0,9.4,309.6482
0,0,0,37.44662,-122.1658,0,9.22,309.6482
0,0,0,37.44667,-122.1659,0,8.84,309.6482
0,0,0,37.44672,-122.166,0,8.59,309.6482
0,0,0,37.44677,-122.1661,0,8.63,309.6482
0,0,0,37.44682,-122.1662,0,8.58,309.6482
0,0,0,37.44687,-122.1662,0,8.44,309.6482
0,0,0,37.44691,-122.1663,0,7.2,309.6482
0,0,0,37.44695,-122.1664,0,5.76,309.6482
0,0,0,37.44698,-122.1664,0,4.42,309.6482
0,0,0,37.44701,-122.1664,0,3.44,309.6482
0,0,0,37.44702,-122.1665,0,3.41,309.6482
0,0,0,37.44703,-122.1665,0,3.43,348.0469
0,0,0,37.44715,-122.1665,0,3.89,38.30362
0,0,0,37.44717,-122.1664,0,4.87,38.30362
0,0,0,37.44721,-122.1664,0,5.92,38.30362
0,0,0,37.44725,-122.1664,0,6.75,38.30362
0,0,0,37.4473,-122.1663,0,7.85,38.30362
0,0,0,37.44733,-122.1663,0,6.81,38.30362
0,0,0,37.44738,-122.1662,0,8.36,38.30362
0,0,0,37.44745,-122.1662,0,9.39,38.30362
0,0,0,37.44751,-122.1661,0,9.49,38.30362
0,0,0,37.44758,-122.166,0,9.74,38.30362
0,0,0,37.44765,-122.166,0,9.63,38.30362
0,0,0,37.44772,-122.1659,0,9.56,38.14027
0,0,0,37.44779,-122.1658,0,9.44,38.14027
0,0,0,37.44785,-122.1658,0,9.51,38.14027
0,0,0,37.44792,-122.1657,0,9.37,38.14027
0,0,0,37.44798,-122.1656,0,9.35,36.01365
0,0,0,37.44804,-122.1656,0,9.21,36.01365
0,0,0,37.4481,-122.1655,0,8.41,36.01365
0,0,0,37.44815,-122.1655,0,6.81,36.01365
0,0,0,37.44818,-122.1654,0,4.49,36.01365
0,0,0,37.4482,-122.1654,0,2.07,36.01365
0,0,0,37.44819,-122.1654,0,0.37,36.01365
0,0,0,37.4482,-122.1654,0,0.66,36.01365
0,0,0,37.44821,-122.1654,0,1.32,36.01365
0,0,0,37.44822,-122.1654,0,1.29,36.01365
0,0,0,37.44823,-122.1654,0,1.48,36.01365
0,0,0,37.44824,-122.1654,0,2.8,36.01365
0,0,0,37.44825,-122.1654,0,4.18,338.2031
0,0,0,37.44829,-122.1655,0,5.36,307.3442
0,0,0,37.44833,-122.1655,0,7.23,307.3442
0,0,0,37.44838,-122.1656,0,8.65,307.3442
0,0,0,37.44843,-122.1657,0,9.1,307.3442
0,0,0,37.44848,-122.1658,0,8.92,307.3442
0,0,0,37.44852,-122.1659,0,8.68,307.3442
0,0,0,37.44857,-122.1659,0,8.15,307.3442
0,0,0,37.44862,-122.166,0,7.9,307.3442
0,0,0,37.44865,-122.1661,0,7.4,307.3442
0,0,0,37.44868,-122.1661,0,6.37,307.3442
0,0,0,37.44871,-122.1662,0,4.1,307.359
0,0,0,37.44873,-122.1662,0,3.05,307.359
0,0,0,37.44875,-122.1662,0,2.83,307.359
0,0,0,37.44876,-122.1662,0,2.19,307.359
0,0,0,37.44877,-122.1663,0,1.4,307.359
0,0,0,37.4487,-122.1664,0,2.53,228.1641
0,0,0,37.44868,-122.1664,0,2.9,224.2969
0,0,0,37.44866,-122.1664,0,3.35,221.1328
0,0,0,37.44864,-122.1664,0,3.75,219.375
0,0,0,37.44861,-122.1665,0,4.15,218.3203
0,0,0,37.44858,-122.1665,0,4.51,216.9141
0,0,0,37.44854,-122.1665,0,5.05,214.4531
0,0,0,37.44851,-122.1666,0,5.34,215.1562
0,0,0,37.44847,-122.1666,0,5.34,215.1562
0,0,0,37.44844,-122.1666,0,4.99,215.5078
0,0,0,37.44841,-122.1667,0,4.66,216.5625
0,0,0,37.44838,-122.1667,0,3.87,216.9141
0,0,0,37.44836,-122.1667,0,3.26,216.5625
0,0,0,37.44833,-122.1667,0,3.23,210.9375
0,0,0,37.44831,-122.1667,0,3.07,194.7656
0,0,0,37.44828,-122.1667,0,2.76,172.6172
0,0,0,37.44826,-122.1667,0,2.39,157.1484
0,0,0,37.44825,-122.1667,0,2.12,145.1953
0,0,0,37.44823,-122.1667,0,2.03,137.8125
0,0,0,37.44822,-122.1667,0,2.12,135.0
0,0,0,37.4482,-122.1667,0,2.24,132.5391
0,0,0,37.44818,-122.1667,0,2.22,131.1328
0,0,0,37.44817,-122.1666,0,2.1,130.0781
0,0,0,37.44815,-122.1666,0,2.37,129.7266
0,0,0,37.44814,-122.1666,0,3.22,129.375
0,0,0,37.44812,-122.1665,0,3.46,129.375
0,0,0,37.4481,-122.1665,0,3.72,129.0234
0,0,0,37.44807,-122.1665,0,4.1,128.6719
0,0,0,37.44805,-122.1664,0,4.01,128.6719
0,0,0,37.44802,-122.1664,0,3.83,128.6719
0,0,0,37.44801,-122.1664,0,3.69,128.3203
0,0,0,37.44799,-122.1664,0,3.76,128.3203
0,0,0,37.44797,-122.1663,0,4.11,128.3203
0,0,0,37.44793,-122.1663,0,4.73,128.6719
0,0,0,37.44789,-122.1662,0,5.32,129.7266
0,0,0,37.44785,-122.1661,0,5.758296,130.0303
0,0,0,37.44784,-122.1661,0,4.767134,129.4855
0,0,0,37.44786,-122.1662,0,4.07,125.8594
0,0,0,37.44785,-122.1661,0,3.77,119.8828
0,0,0,37.44787,-122.1661,0,3.04,105.4688
0,0,0,37.44786,-122.1661,0,2.93,88.59375
0,0,0,37.44788,-122.1661,0,2.92,72.07031
0,0,0,37.4479,-122.1661,0,3.66,48.16406
0,0,0,37.44792,-122.166,0,3.65,39.375
0,0,0,37.44794,-122.166,0,2.57,31.64062
0,0,0,37.44796,-122.166,0,1.88,32.69531
0,0,0,37.44798,-122.166,0,1.11,36.21094
0,0,0,37.44798,-122.1659,0,1.17,51.32812
0,0,0,37.44799,-122.1659,0,1.1,78.75
0,0,0,37.44798,-122.1659,0,0.86,101.25
0,0,0,37.44797,-122.1659,0,1.21,105.8203
0,0,0,37.44796,-122.1659,0,1.86,120.5859
0,0,0,37.44795,-122.1658,0,1.57,128.6719
0,0,0,37.44792,-122.1658,0,1.82,129.0234
0,0,0,37.4479,-122.1658,0,2.25,128.6719
0,0,0,37.44788,-122.1657,0,1.95,128.6719
0,0,0,37.44787,-122.1657,0,1.89,129.7266
0,0,0,37.44785,-122.1657,0,1.98,134.6484
0,0,0,37.44784,-122.1657,0,2.56,134.2969
0,0,0,37.44787,-122.1657,0,2.47,131.8359
0,0,0,37.44786,-122.1657,0,2.87,131.1328
0,0,0,37.44785,-122.1657,0,3.14,130.7812
0,0,0,37.44782,-122.1657,0,3.92,127.6172
0,0,0,37.44783,-122.1657,0,3.71,123.0469
0,0,0,37.44784,-122.1657,0,3.53,122.6953
0,0,0,37.44762,-122.1659,0,3.08,128.6317
0,0,0,37.44764,-122.1659,0,1.3,128.6317
0,0,0,37.44765,-122.1659,0,0.65,128.6317
0,0,0,37.44766,-122.1659,0,0.23,128.6317
0,0,0,37.44769,-122.1659,0,1.33,185.9766
0,0,0,37.44767,-122.1659,0,1.4,183.5156
0,0,0,37.44768,-122.1659,0,1.27,175.4297
0,0,0,37.44772,-122.1659,0,0.59,176.8359
0,0,0,37.4477,-122.1659,0,0.46,176.8359
